energy_nJ,peak_power_MW_est,Imax_TW_cm2,z_Imax_mm,final_cutoff_nm,max_rho_cm3,energy_loss_pct,case,material,beam_type,runtime_s
900.0000000000001,13.846153846153848,94.4809626876667,9.5,277.50951819072225,1.234931208492721e+18,0.5168571285280921,fused_silica,fused_silica,vortex_m1,
1000.0000000000001,15.384615384615389,81.1861211566366,9.399999999999999,314.7366745350083,4.210713749114768e+17,0.4724522061209324,fused_silica,fused_silica,vortex_m1,
1050.0,16.153846153846157,83.43631552370184,11.899999999999999,311.1076093168697,6.784122157629857e+17,0.5389873665210598,fused_silica,fused_silica,vortex_m1,
1100.0,16.923076923076923,65.66486252167304,10.599999999999998,277.50951819072225,3.0094219154158784e+17,0.4476047800652694,fused_silica,fused_silica,vortex_m1,
1200.0000000000002,18.461538461538463,71.89021575503756,11.299999999999999,316.58314315077155,4.494099423855941e+17,0.38016701543445164,fused_silica,fused_silica,vortex_m1,
700.0000000000001,10.76923076923077,51.88102587430641,11.199999999999998,398.38557809166684,4.153252831315797e+17,0.4361094252236519,sapphire_o,sapphire_o,vortex_m1,982.1582870483398
900.0000000000001,13.846153846153848,63.37629709845376,9.299999999999999,386.95851055354404,4.333353271601272e+17,0.5206757207894652,sapphire_o,sapphire_o,vortex_m1,985.310968875885
1000.0000000000001,15.384615384615389,66.12153652833307,9.299999999999999,392.5889101433274,1.0924539784485494e+18,0.6634456021097801,sapphire_o,sapphire_o,vortex_m1,983.4594194889069
1100.0,16.923076923076923,66.21002374604205,11.199999999999998,386.95851055354404,5.421581395895399e+17,0.5925534288863665,sapphire_o,sapphire_o,vortex_m1,977.1972830295563
1200.0000000000002,18.461538461538463,74.75567812225407,10.4,378.80934513016894,2.2093651701155459e+18,0.6431484298060175,sapphire_o,sapphire_o,vortex_m1,983.7700715065002
700.0000000000001,10.76923076923077,52.73149178783583,11.199999999999998,407.4088089719405,3.206866240462999e+17,0.48137404273482787,sapphire_e,sapphire_e,vortex_m1,981.0077073574066
900.0000000000001,13.846153846153848,61.74744487534495,9.299999999999999,410.5080753997836,3.9308318102943635e+17,0.4888934032573844,sapphire_e,sapphire_e,vortex_m1,979.5734655857086
1000.0000000000001,15.384615384615389,64.19875733078077,9.299999999999999,398.38557809166684,5.935148331963584e+17,0.66049506918745,sapphire_e,sapphire_e,vortex_m1,971.656343460083
1100.0,16.923076923076923,63.69842677498582,8.499999999999998,404.35598974858044,3.025625124002561e+17,0.4688414346540548,sapphire_e,sapphire_e,vortex_m1,973.8374574184418
1200.0000000000002,18.461538461538463,66.12912575693818,14.2,373.56461431222357,2.395927958288341e+18,0.6096255431231712,sapphire_e,sapphire_e,vortex_m1,976.2200288772583
